TIME ns, IN1, OUT1
260.742, 2.148438, 3
259.766, 2.142716, 3
258.789, 2.118874, 3
257.813, 2.095032, 3
256.836, 2.07119, 3
255.859, 2.057647, 3
254.883, 2.105331, 3
253.906, 2.153014, 3
252.93, 2.200698, 3
251.953, 2.24495, 3
250.977, 2.221108, 3
250, 2.197266, 3
249.023, 2.173424, 3
248.047, 2.149582, 3
247.07, 2.148438, 3
246.094, 2.148438, 3
245.117, 2.148438, 3
244.141, 2.148438, 3
243.164, 2.148438, 3
242.188, 2.148438, 3
241.211, 2.148438, 3
240.234, 2.148438, 3
239.258, 2.166557, 3
238.281, 2.190399, 3
237.305, 2.214241, 3
236.328, 2.238083, 3
235.352, 2.230263, 3
234.375, 2.206421, 3
233.398, 2.182579, 3
232.422, 2.158737, 3
231.445, 2.148438, 3
230.469, 2.148438, 3
229.492, 2.148438, 3
228.516, 2.148438, 3
227.539, 2.148438, 3
226.562, 2.148438, 3
225.586, 2.148438, 3
224.609, 2.148438, 3
223.633, 2.148438, 3
222.656, 2.148438, 3
221.68, 2.148438, 3
220.703, 2.148438, 3
219.727, 2.148438, 3
218.75, 2.148438, 3
217.773, 2.148438, 3
216.797, 2.148438, 3
215.82, 2.152824, 3
214.844, 2.176666, 3
213.867, 2.200508, 3
212.891, 2.22435, 3
211.914, 2.243996, 3
210.938, 2.220154, 3
209.961, 2.196312, 3
208.984, 2.17247, 3
208.008, 2.148628, 3
207.031, 2.148438, 3
206.055, 2.148438, 3
205.078, 2.148438, 3
204.102, 2.148438, 3
203.125, 2.1698, 3
202.148, 2.193641, 3
201.172, 2.217483, 3
200.195, 2.241325, 3
199.219, 2.227021, 3
198.242, 2.203179, 3
197.266, 2.179337, 3
196.289, 2.155495, 3
195.313, 2.165222, 3
194.336, 2.189064, 3
193.359, 2.212906, 3
192.383, 2.236748, 3
191.406, 2.217103, 3
190.43, 2.169419, 3
189.453, 2.121735, 3
188.477, 2.074051, 3
187.5, 2.062988, 3
186.523, 2.08683, 3
185.547, 2.110672, 3
184.57, 2.134514, 3
183.594, 2.158355, 3
182.617, 2.182197, 3
181.641, 2.206039, 3
180.664, 2.229881, 3
179.688, 2.238465, 3
178.711, 2.214623, 3
177.734, 2.190781, 3
176.758, 2.166939, 3
175.781, 2.153778, 3
174.805, 2.17762, 3
173.828, 2.201462, 3
172.852, 2.225303, 3
171.875, 2.243042, 3
170.898, 2.2192, 3
169.922, 2.195359, 3
168.945, 2.171517, 3
167.969, 2.1492, 3
166.992, 2.173042, 3
166.016, 2.196884, 3
165.039, 2.220726, 3
164.062, 2.244568, 3
163.086, 2.223778, 3
162.109, 2.199936, 3
161.133, 2.176094, 3
160.156, 2.152252, 3
159.18, 2.148438, 3
158.203, 2.148438, 3
157.227, 2.148438, 3
156.25, 2.148438, 3
155.273, 2.148438, 3
154.297, 2.148438, 3
153.32, 2.148438, 3
152.344, 2.148438, 3
151.367, 2.132988, 3
150.391, 2.109146, 3
149.414, 2.085304, 3
148.438, 2.061463, 3
147.461, 2.063942, 3
146.484, 2.087784, 3
145.508, 2.111625, 3
144.531, 2.135467, 3
143.555, 2.137566, 3
142.578, 2.113724, 3
141.602, 2.089882, 3
140.625, 2.06604, 3
139.648, 2.059364, 3
138.672, 2.083206, 3
137.695, 2.107048, 3
136.719, 2.13089, 3
135.742, 2.148438, 3
134.766, 2.148438, 3
133.789, 2.148438, 3
132.813, 2.148438, 3
131.836, 2.148438, 3
130.859, 2.148438, 3
129.883, 2.148438, 3
128.906, 2.148438, 3
127.93, 2.146721, 3
126.953, 2.122879, 3
125.977, 2.099037, 3
125, 2.075196, 3
124.023, 2.051354, 3
123.047, 2.074051, 3
122.07, 2.097893, 3
121.094, 2.121734, 3
120.117, 2.145576, 3
119.141, 2.127457, 3
118.164, 2.103615, 3
117.188, 2.079773, 3
116.211, 2.055931, 3
115.234, 2.069473, 3
114.258, 2.093315, 3
113.281, 2.117157, 3
112.305, 2.140999, 3
111.328, 2.148438, 3
110.352, 2.148438, 3
109.375, 2.148438, 3
108.398, 2.148438, 3
107.422, 2.148438, 3
106.445, 2.148438, 3
105.469, 2.148438, 3
104.492, 2.148438, 3
103.516, 2.160263, 3
102.539, 2.184105, 3
101.562, 2.207947, 3
100.586, 2.231788, 3
99.609, 2.236557, 3
98.633, 2.212715, 3
97.656, 2.188874, 3
96.68, 2.165032, 3
95.703, 2.148438, 3
94.727, 2.148438, 3
93.75, 2.148438, 3
92.773, 2.148438, 3
91.797, 2.153396, 3
90.82, 2.177238, 3
89.844, 2.20108, 3
88.867, 2.224922, 3
87.891, 2.243424, 3
86.914, 2.219582, 3
85.938, 2.19574, 3
84.961, 2.171898, 3
83.984, 2.148056, 3
83.008, 2.124214, 3
82.031, 2.100373, 3
81.055, 2.076531, 3
80.078, 2.052689, 3
79.102, 2.072716, 3
78.125, 2.096557, 3
77.148, 2.120399, 3
76.172, 2.144241, 3
75.195, 2.168083, 3
74.219, 2.191925, 3
73.242, 2.215767, 3
72.266, 2.239609, 3
71.289, 2.228737, 3
70.313, 2.204895, 3
69.336, 2.181053, 3
